id_municipio,ano,qtd_estabelecimentos,total_leitos,qtd_profissionais,populacao,EPC,PPC
3508603,2021,60,21,534,33827,1.7737310432494753,15.78620628492033
3508603,2022,67,32,615,31564,2.1226713977949565,19.48422253199848
3508603,2023,77,32,636,31564,2.439488024331517,20.14953744772526
3508603,2024,80,32,679,32482,2.46290253063235,20.90388522874207
3508702,2021,38,20,242,19031,1.9967421575324469,12.716094792706636
3508702,2022,40,20,245,17101,2.3390445003216187,14.326647564469916
3508702,2023,43,20,239,17101,2.51447283784574,13.975790889421672
3508702,2024,46,9,247,17266,2.664195528784895,14.305571643692806
3508801,2021,46,33,252,17917,2.567394094993581,14.064854607356143
3508801,2022,54,33,268,16654,3.2424642728473643,16.092230094872104
3508801,2023,56,33,277,16654,3.3625555422120814,16.63264080701333
3508801,2024,46,29,247,16905,2.7210884353741496,14.61106181603076
3508900,2021,5,0,69,4195,1.1918951132300357,16.448152562574496
3508900,2022,5,0,76,3712,1.3469827586206897,20.47413793103448
3508900,2023,5,0,76,3712,1.3469827586206897,20.47413793103448
3508900,2024,5,0,71,3745,1.335113484646195,18.958611481975968
3509007,2021,79,129,1915,104044,0.7592941447848987,18.405674522317483
3509007,2022,87,129,2235,95032,0.9154811011027864,23.51839380419227
3509007,2023,92,120,2284,95032,0.968094957488004,24.034009596767405
3509007,2024,101,101,2488,98257,1.0279165860956472,25.321351150554158
3509106,2021,7,0,100,6017,1.16337045039056,16.619577862722284
3509106,2022,6,0,91,5466,1.0976948408342482,16.64837175265276
3509106,2023,7,0,87,5466,1.2806439809732895,15.916575192096598
